Address,Age,City,Education,Employment,Fertility,FirstName,FullName,Gender,HairColor,Height,LastName,MiddleI,Race,Salary,State,Weight,Zip
1927 N. Lake Blvd.,76,Fresno,2YD,S,0,Kadisha,Kadisha G. Franklin,F,Black,67.88,Franklin,G.,B,49.53,CA,166,55406
6642 S. Hill Road,47,Metropolis,HS,E,3,Autry,Autry G. Holmes,M,Black,70.81,Holmes,G.,B,51.0,MT,163,83501
123 E. National Avenue,45,River West,PHD,U,2,Hunter,Hunter A. Brown,M,Brown,77.0,Brown,A.,W,58.5,TN,164,68176
9252 W. Cedar Avenue,33,Vice City,PHD,E,1,Kenneth,Kenneth F. Burns,M,Brown,76.31,Burns,F.,W,73.5,SC,171,38672
9512 W. 34 Street,44,Valyria,2YD,S,0,Kayden,Kayden D. Cooper,M,Brown,69.21,Cooper,D.,W,68.5,SC,192,63142
7429 E. Elm Street,45,Sunnydale,PHD,E,1,Dale,Dale L. Stone,M,Brown,71.96,Stone,L.,W,64.0,NE,154,51135
9010 N. Lake Blvd.,40,River West,MAS,E,1,Aaron,Aaron J. Owens,M,Black,69.25,Owens,J.,B,57.5,CO,152,43597
4971 S. 95th Street,34,Smalltown,HS,L,3,Chung,Chung E. Fong,M,Black,63.91,Fong,E.,O,56.5,NC,172,74961
3781 N. 95th Street,70,Fort Myers,PHD,L,3,Connie,Connie I. Mcdonald,F,Red,61.4,Mcdonald,I.,W,55.38,FL,163,53643
3179 E. Washington Avenue,18,Buffalo,HS,U,1,Don,Don J. Moore,M,Blonde,71.81,Moore,J.,W,55.0,NY,152,46304
3356 N. Park Road,75,Los Angeles,HS,L,0,Kayla,Kayla A. Ward,F,Black,60.85,Ward,A.,B,39.0,CA,148,75137
2201 E. Pine Road,22,Blackwater,GS,H,3,Hazel,Hazel E. Young,F,Brown,68.17,Young,E.,W,49.92,IL,142,24688
3518 E. Hill Road,42,Pythonville,2YD,C,1,Tanya,Tanya M. Bennett,F,Brown,64.46,Bennett,M.,W,50.7,RI,184,30540
5039 S. Washington Avenue,71,Olympus,HS,E,1,Greg,Greg J. Brooks,M,Blonde,61.08,Brooks,J.,W,50.0,SC,195,52147
6756 W. Chambers Street,70,Smalltown,GS,L,3,Clester,Clester F. King,M,Black,71.5,King,F.,B,60.0,MN,152,87144
1352 E. Lake Blvd.,36,Mordor,4YD,S,3,Reyna,Reyna C. Cortez,F,Black,61.11,Cortez,C.,H,57.72,MN,114,33538
9176 S. Maple Street,18,River West,GS,E,1,Tawney,Tawney A. Morris,F,Black,58.55,Morris,A.,B,48.36,PA,166,53730
2020 W. Elm Road,19,Mordor,GS,H,1,Rashan,Rashan J. Scott,M,Black,73.7,Scott,J.,B,56.5,SC,154,54182
5342 E. Becher Blvd.,56,Springfield,2YD,U,0,Brenda,Brenda D. Stewart,F,Black,65.93,Stewart,D.,W,45.63,CO,118,60413
79 W. Main Street,23,Lake Delton,2YD,E,2,Holly,Holly E. Kelly,F,Black,60.9,Kelly,E.,W,46.800000000000004,WI,137,63361
5510 S. Pine Road,58,Oldtown,GS,L,2,Chofa,Chofa A. Gonzales,F,Black,55.14,Gonzales,A.,H,45.63,PA,142,55638
1369 W. Clarke Blvd.,60,Midland,2YD,U,0,Marie,Marie J. Baker,F,Brown,71.01,Baker,J.,W,42.9,TX,175,49314
9372 W. Pearl Street,46,Balmora,MAS,E,1,Mike,Mike W. Richardson,M,Brown,68.46,Richardson,W.,W,56.5,MD,158,76725
5503 W. Cedar Street,63,Dawnstar,PHD,C,3,Arlene,Arlene C. Meyer,F,Blonde,57.23,Meyer,C.,W,44.07,MN,156,14284
1822 E. Clarke Street,73,King's Landing,GS,U,0,Karson,Karson D. Ross,M,Brown,72.04,Ross,D.,W,56.5,NC,154,43393
3813 E. Pearl Street,26,Thundera,HS,C,1,Kevin,Kevin T. Sanders,M,Brown,67.07,Sanders,T.,W,68.5,MO,182,89238
838 S. Cedar Road,47,Mordor,MAS,L,2,Romon,Romon T. Jefferson,M,Black,65.71,Jefferson,T.,B,73.5,NC,175,71068
9252 E. Main Street,20,Bedrock,2YD,E,0,Bernadine,Bernadine A. Young,F,Brown,63.55,Young,A.,W,42.9,AK,143,68707
6419 W. Main Street,62,Buffalo,HS,E,2,Juanita,Juanita J. Henderson,F,Brown,66.34,Henderson,J.,W,48.36,NY,131,75050
3038 S. Pine Blvd.,60,Los Angeles,MAS,U,3,Kason,Kason C. Russell,M,Red,69.15,Russell,C.,W,65.0,CA,153,96028
681 W. Oak Road,20,Los Angeles,GS,U,1,Saloso,Saloso A. Pacgeco,F,Black,63.64,Pacgeco,A.,I,46.800000000000004,CA,155,27371
4577 S. National Avenue,63,Pythonville,4YD,L,4,Garrett,Garrett J. Price,M,Black,65.72,Price,J.,W,64.0,IL,200,67013
3903 N. Lake Road,43,Buffalo,PHD,C,2,Victor,Victor T. Harris,M,Brown,70.57,Harris,T.,W,58.5,NY,145,17005
6288 W. Garfield Road,72,Bedrock,2YD,S,2,Denise,Denise E. Hill,F,Brown,61.72,Hill,E.,W,56.160000000000004,OR,149,76149
9387 S. High Street,75,Faketown,HS,H,6,Rafaela,Rafaela L. Valencia,F,Black,61.05,Valencia,L.,H,39.0,GA,137,14465
1169 E. 95th Blvd.,63,King's Landing,MAS,U,0,Adaline,Adaline A. Jones,F,Brown,67.25,Jones,A.,W,45.63,SC,175,53223
2314 W. Pine Road,60,Olympus,MAS,S,1,Adron,Adron L. Phillips,M,Black,64.23,Phillips,L.,B,63.5,NC,172,28590
9479 N. Cedar Road,54,Sunnydale,MAS,H,5,Venanciohéctor,Venanciohéctor J. Ortega,M,Black,65.5,Ortega,J.,H,62.0,NJ,182,86710
4140 N. Oak Street,22,Sacramento,GS,L,2,Stanley,Stanley J. Weaver,M,Brown,71.99,Weaver,J.,W,53.0,CA,177,79800
5478 W. Becher Road,24,Pythonville,GS,H,1,Florencia,Florencia G. Miranda,F,Black,59.0,Miranda,G.,H,55.38,NJ,179,12412
6903 E. High Street,45,River West,GS,U,1,Bradley,Bradley T. Miller,M,Black,69.18,Miller,T.,W,71.0,GA,155,50345
2520 W. Oak Road,54,Epicburg,PHD,E,0,Gordon,Gordon C. Hill,M,Black,68.38,Hill,C.,W,68.5,MT,188,50482
7287 S. Pearl Road,20,Blackwater,HS,H,0,Clayton,Clayton J. Johnston,M,Blonde,67.71,Johnston,J.,W,57.5,CT,179,26318
4124 W. Becker Street,48,Atlantis,PHD,L,2,Guowei,Guowei J. Young,M,Black,63.6,Young,J.,O,55.0,PA,178,46405
8521 E. Elm Street,64,Winterfell,MAS,S,3,Agnes,Agnes G. Barnes,F,Brown,63.96,Barnes,G.,W,47.58,NJ,185,23288
4811 N. Elm Road,44,River West,HS,C,1,Minnie,Minnie E. Simmons,F,Brown,67.84,Simmons,E.,W,46.800000000000004,OK,126,28505
8892 S. Cedar Street,42,River West,GS,U,1,Tara,Tara D. Burns,F,Black,64.87,Burns,D.,W,39.78,AK,189,65086
6559 W. 17th Blvd.,65,Los Angeles,HS,U,3,Shashawn,Shashawn A. Taylor,F,Black,63.96,Taylor,A.,B,49.92,CA,172,49571
796 N. Oak Road,39,Vice City,4YD,U,0,Patrick,Patrick D. Johnson,M,Blonde,62.33,Johnson,D.,W,50.0,LA,161,44780
7686 E. Lake Avenue,22,Westworld,2YD,U,1,Lisa,Lisa A. Wagner,F,Brown,68.53,Wagner,A.,W,55.38,MN,136,70516
69 S. Lake Blvd.,52,Thundera,2YD,C,2,Oliver,Oliver A. Kelley,M,Brown,74.8,Kelley,A.,W,64.0,IL,227,78295
3994 E. Chambers Street,72,Valyria,4YD,U,4,Cynthia,Cynthia N. Jordan,F,Blonde,58.12,Jordan,N.,W,49.53,WA,193,68699
1847 N. Main Street,27,Orlando,2YD,L,1,Jill,Jill M. Weaver,F,Blonde,62.78,Weaver,M.,W,44.85,FL,151,67049
3015 S. Maple Street,38,Thundera,HS,S,2,Oliver,Oliver D. Perry,M,Brown,63.44,Perry,D.,W,65.0,PA,190,58071
7167 N. Cedar Avenue,49,Atlantis,2YD,L,0,Evelyn,Evelyn L. Stone,F,Brown,62.23,Stone,L.,W,53.43,WA,139,32922
1625 W. Pearl Road,31,Olympus,2YD,H,2,Bienvenida,Bienvenida A. Morales,F,Black,64.3,Morales,A.,H,44.85,ND,139,71650
5413 W. Hill Avenue,48,Smalltown,HS,L,0,Ynez,Ynez G. Salas,F,Black,64.39,Salas,G.,H,44.07,GA,175,57732
3367 S. Main Street,43,Orlando,GS,S,3,Fred,Fred J. Marshall,M,Black,69.83,Marshall,J.,W,63.5,FL,194,31786
866 W. Pearl Road,70,Waco,GS,E,0,Crispulo,Crispulo C. Hernandez,M,Black,59.62,Hernandez,C.,H,50.0,TX,175,47586
1954 S. Lake Street,61,Fresno,GS,S,1,Jake,Jake C. Green,M,Brown,64.93,Green,C.,W,72.0,CA,215,59496
1992 E. Washington Road,35,Orlando,PHD,H,3,Akil,Akil J. Wallace,M,Black,63.91,Wallace,J.,B,62.0,FL,156,43569
416 N. Locust Street,26,Dawnstar,GS,L,1,Phyllis,Phyllis E. Patterson,F,Blonde,59.34,Patterson,E.,W,42.9,ID,183,72146
6580 E. Becher Road,73,Blackwater,GS,L,6,Rose,Rose G. Wallace,F,Brown,64.13,Wallace,G.,W,44.07,PA,214,26066
679 E. Pearl Road,73,Buffalo,MAS,H,2,Ilyas,Ilyas Harb,M,Black,69.49,Harb, ,A,58.5,NY,155,67808
1317 W. 17th Street,71,Sacramento,PHD,C,4,Terrell,Terrell C. Sims,M,Black,73.13,Sims,C.,B,51.0,CA,150,34112
8740 W. Garfield Road,73,Olympus,GS,H,2,George,George J. Hamilton,M,Brown,72.91,Hamilton,J.,W,61.0,KY,174,71822
8511 N. Lake Avenue,27,Gotham,MAS,S,2,Anabel,Anabel L. James,F,Brown,67.7,James,L.,W,42.9,NC,160,35991
9175 E. Hill Road,59,South Park,HS,S,2,Jessica,Jessica H. Hoffman,F,Red,73.82,Hoffman,H.,W,49.53,GA,143,44314
3624 E. Pearl Road,23,Gotham,2YD,L,0,Connie,Connie A. Parker,F,Brown,66.83,Parker,A.,W,44.85,NC,172,84205
2527 W. Lake Road,54,Epicburg,4YD,S,2,Kaiden,Kaiden F. Wilson,M,Brown,63.96,Wilson,F.,W,55.0,MT,187,82534
5017 W. Townsend Road,18,Dawnstar,GS,C,2,Jennifer,Jennifer M. Fox,F,Brown,66.58,Fox,M.,W,49.53,GA,140,90845
8318 W. Cedar Street,46,Madison,2YD,L,1,Clayton,Clayton F. Richardson,M,Brown,74.92,Richardson,F.,W,61.0,WI,180,91073
7487 S. 17th Street,69,Fort Myers,4YD,S,1,Grant,Grant C. Kelley,M,Black,70.05,Kelley,C.,W,74.0,FL,152,84874
6384 S. Garfield Road,29,Smalltown,MAS,E,0,Mildred,Mildred A. Cooper,F,Brown,63.95,Cooper,A.,W,45.63,KY,204,70343
932 S. Wright Street,23,Buffalo,HS,C,1,Abraham,Abraham W. Clark,M,Black,79.44,Clark,W.,W,65.0,NY,187,82645
846 N. Arthur Street,29,Epicburg,2YD,E,1,Isaac,Isaac G. Perez,M,Black,69.51,Perez,G.,H,56.5,AK,154,48510
5566 S. Maple Street,47,Sacramento,4YD,S,6,Isamu,Isamu D. Chou,M,Black,72.33,Chou,D.,O,64.0,CA,179,49417
10 N. Clarke Blvd.,23,Balmora,HS,C,7,Kayson,Kayson D. Fisher,M,Brown,72.88,Fisher,D.,W,56.5,IL,142,91945
3284 S. Washington Road,25,Atlantis,2YD,E,2,Kyle,Kyle W. Williams,M,Brown,67.38,Williams,W.,W,53.0,MS,169,89594
7567 S. Cedar Road,63,Faketown,2YD,L,0,Sandra,Sandra E. Alexander,F,Brown,63.17,Alexander,E.,W,56.160000000000004,VT,146,26934
3758 S. Oak Road,34,Blackwater,GS,H,6,Gail,Gail E. Turner,F,Blonde,66.1,Turner,E.,W,50.7,AL,142,39428
2735 N. Garfield Road,59,Valyria,4YD,U,3,Johnathan,Johnathan S. Alexander,M,Brown,71.87,Alexander,S.,W,60.0,AK,163,17340
482 S. Arthur Street,62,Tampa,4YD,C,1,Georgia,Georgia L. Hoffman,F,Black,63.9,Hoffman,L.,W,49.53,FL,151,87609
5554 N. Townsend Road,71,New York,4YD,E,2,Ambrocio,Ambrocio F. Doan,M,Black,62.64,Doan,F.,O,51.0,NY,172,38285
5402 N. Elm Road,33,River West,PHD,S,1,Maurice,Maurice G. Perry,M,Brown,66.78,Perry,G.,W,68.5,MN,208,62337
7038 S. Lake Street,70,Vice City,MAS,U,2,Marc,Marc J. Fox,M,Black,74.52,Fox,J.,W,65.0,MO,148,45677
5574 E. 95th Street,18,Valyria,GS,S,2,Leslie,Leslie A. Parker,F,Brown,62.35,Parker,A.,W,46.800000000000004,MO,128,39761
9597 S. Pearl Road,46,Balmora,2YD,U,1,Georgia,Georgia J. Wallace,F,Brown,59.39,Wallace,J.,W,50.7,AZ,167,16499
4880 N. Lake Street,56,Orlando,PHD,H,0,Hunter,Hunter G. Wagner,M,Blonde,72.46,Wagner,G.,W,61.0,FL,141,17846
8287 W. High Street,41,King's Landing,PHD,C,1,Brett,Brett W. Ellis,M,Brown,74.76,Ellis,W.,W,73.5,AK,166,27739
8618 W. Elm Road,52,Smalltown,2YD,S,1,Kaleena,Kaleena D. Patterson,F,Black,62.32,Patterson,D.,B,55.38,IL,126,89658
983 N. Garfield Road,51,Bedrock,2YD,C,0,Louis,Louis J. Jones,M,Brown,66.48,Jones,J.,W,63.5,GA,140,66348
6982 E. Pine Street,47,Bedrock,4YD,H,0,Heather,Heather J. Mcdonald,F,Brown,64.05,Mcdonald,J.,W,55.38,NC,117,82240
2228 S. Holton Avenue,55,Lakeview,MAS,U,3,Tina,Tina M. Owens,F,Blonde,65.17,Owens,M.,W,57.330000000000005,ND,141,31233
9156 S. Pine Road,59,Fresno,GS,U,0,Conchita,Conchita N. Reyes,F,Black,59.65,Reyes,N.,H,44.85,CA,176,57044
1825 E. National Avenue,50,Chico,2YD,S,2,Gloria,Gloria A. Richardson,F,Black,61.38,Richardson,A.,W,39.0,CA,157,43139
7266 E. Elm Road,37,Westworld,GS,H,3,Barbara,Barbara H. Johnston,F,Blonde,63.36,Johnston,H.,W,42.9,PA,167,83390
8355 E. 17th Street,44,Buffalo,2YD,H,2,Casim,Casim C. Patterson,M,Black,69.52,Patterson,C.,B,58.5,NY,169,62756
272 N. Chambers Blvd.,19,Green Bay,GS,S,2,Joan,Joan L. Cook,F,Blonde,66.23,Cook,L.,W,42.9,WI,125,39616
5200 N. National Avenue,45,Fresno,HS,C,3,Madison,Madison A. Moore,F,Black,64.53,Moore,A.,B,39.78,CA,119,54926
873 S. Lake Street,50,River West,HS,U,6,April,April M. Lewis,F,Brown,58.71,Lewis,M.,W,44.85,GA,124,30366
3486 S. Townsend Road,50,South Park,GS,C,0,Duane,Duane J. Johnston,M,Brown,70.1,Johnston,J.,W,61.0,NH,202,56900
6807 N. 34 Street,66,San Antonio,2YD,E,2,Minnie,Minnie H. Rogers,F,Red,69.22,Rogers,H.,W,47.58,TX,132,32050
1805 N. Garfield Road,27,Metropolis,HS,U,0,Edward,Edward C. Bailey,M,Black,74.39,Bailey,C.,W,51.0,KY,155,54639
3697 N. National Avenue,47,Los Angeles,GS,L,2,Cronan,Cronan D. Jefferson,M,Black,73.9,Jefferson,D.,B,73.5,CA,183,49990
171 N. Arthur Road,40,Orlando,HS,L,4,Sidqi,Sidqi Sarraf,M,Black,67.64,Sarraf, ,A,53.0,FL,198,27868
4188 S. 75th Street,42,Thundera,GS,C,0,Howard,Howard S. Meyer,M,Brown,71.58,Meyer,S.,W,64.0,AR,199,78636
311 E. Lake Road,53,King's Landing,HS,E,3,Álvaro,Álvaro E. Rivas,M,Black,66.84,Rivas,E.,H,50.0,MA,158,29058
340 E. Hill Road,58,Balmora,2YD,S,0,Judith,Judith A. Brown,F,Brown,72.14,Brown,A.,W,49.53,CO,130,33286
5381 E. 84th Street,34,Chico,2YD,U,0,Elaine,Elaine B. Robinson,F,Brown,62.14,Robinson,B.,W,42.9,CA,135,78671
4961 E. Hill Street,22,Dawnstar,HS,E,2,Tashelle,Tashelle B. Hicks,F,Black,66.04,Hicks,B.,B,42.9,VT,184,82084
2268 E. Washington Street,71,Thundera,4YD,U,0,Bonnie,Bonnie A. Watson,F,Blonde,65.93,Watson,A.,W,48.36,NM,177,12799
4443 S. Locust Street,74,Olympus,2YD,H,2,Joseph,Joseph L. Cooper,M,Blonde,67.02,Cooper,L.,W,63.5,KY,174,32702
867 E. Washington Road,72,Milwaukee,HS,L,1,Melvin,Melvin J. Wallace,M,Black,66.79,Wallace,J.,W,71.0,WI,164,26968
1266 E. Pearl Road,26,Balmora,HS,S,2,Alberta,Alberta M. Evans,F,Brown,63.04,Evans,M.,W,46.800000000000004,ME,150,82657
6357 S. Pearl Blvd.,24,Pythonville,4YD,H,2,Darrell,Darrell C. Murray,M,Brown,65.54,Murray,C.,W,60.0,MA,164,74193
8800 W. High Street,43,Sunnydale,PHD,U,1,Rafaela,Rafaela E. Fernandez,F,Black,53.16,Fernandez,E.,H,42.9,KS,171,84805
2933 N. Center Street,55,Chico,MAS,L,0,Delores,Delores H. Wood,F,Black,67.09,Wood,H.,W,57.72,CA,129,80365
4123 S. Oak Street,53,Lakeview,2YD,E,3,Jonah,Jonah S. Young,M,Black,73.49,Young,S.,W,56.5,ID,162,40513
4216 E. Becker Street,34,Winterfell,MAS,H,2,Cica,Cica G. Wright,M,Black,71.76,Wright,G.,B,74.0,UT,179,32829
7320 S. Oak Street,43,Vice City,PHD,C,0,Jack,Jack J. King,M,Brown,73.47,King,J.,W,65.0,MI,170,86337
3764 E. Hill Road,51,Pythonville,HS,C,1,Chellise,Chellise R. Henderson,F,Black,60.86,Henderson,R.,B,42.9,CO,162,20795
5649 E. Townsend Road,20,South Park,HS,E,1,Duane,Duane M. Price,M,Red,72.82,Price,M.,W,57.5,MI,174,81104
6655 S. Center Blvd.,60,Smalltown,MAS,U,0,Rafael,Rafael D. Fox,M,Brown,65.14,Fox,D.,W,68.5,SD,168,14302
2731 N. Elm Road,30,Los Angeles,4YD,H,1,Holly,Holly A. Wells,F,Blonde,60.6,Wells,A.,W,42.9,CA,167,97409
8268 W. Washington Road,24,Waco,GS,H,1,Roberta,Roberta B. Brown,F,Blonde,67.58,Brown,B.,W,41.34,TX,147,74658
5842 S. 34 Street,42,Epicburg,HS,S,0,Adell,Adell M. Thompson,F,Brown,58.96,Thompson,M.,W,46.800000000000004,VA,168,37105
454 W. Hill Street,20,New York,HS,C,3,Alicia,Alicia R. Morgan,F,Brown,63.89,Morgan,R.,W,44.07,NY,129,22382
60 W. Oak Road,46,Pythonville,PHD,C,1,Mary,Mary E. Clark,F,Blonde,65.4,Clark,E.,W,57.330000000000005,VA,148,49783
1358 S. 34 Street,25,Balmora,4YD,U,1,Lillian,Lillian G. James,F,Blonde,68.99,James,G.,W,55.38,MS,152,42133
7346 E. Garfield Road,59,Atlantis,4YD,U,2,Keagan,Keagan C. Evans,M,Brown,62.02,Evans,C.,W,55.0,CT,149,78707
2909 S. Arthur Street,27,Eerie,4YD,S,0,Kash,Kash D. Gibson,M,Blonde,73.67,Gibson,D.,W,57.5,GA,203,44392
669 E. Lake Avenue,24,Bedrock,2YD,E,1,Tamila,Tamila I. Willis,F,Black,63.94,Willis,I.,B,53.43,IA,118,86122
485 E. Clarke Blvd.,32,Los Angeles,MAS,U,0,Reggie,Reggie J. Richardson,M,Black,69.42,Richardson,J.,B,61.0,CA,148,28170
6404 W. Pine Blvd.,25,Vice City,4YD,H,1,Nicole,Nicole M. Russell,F,Brown,63.18,Russell,M.,W,55.38,WA,136,69607
8778 S. Garfield Road,60,Midland,GS,E,1,Cynthia,Cynthia A. James,F,Black,54.59,James,A.,W,53.43,TX,110,60298
2140 S. Townsend Road,70,Epicburg,HS,L,1,Yanika,Yanika H. Reed,F,Black,62.26,Reed,H.,B,57.330000000000005,AL,139,56647
4323 E. Washington Avenue,71,Lakeview,4YD,H,1,Ladonne,Ladonne M. Scott,F,Black,66.86,Scott,M.,B,49.53,NC,144,27106
730 E. Pine Road,50,New York,MAS,H,0,Rhonda,Rhonda G. Miller,F,Black,63.34,Miller,G.,W,46.800000000000004,NY,142,97213
1701 N. Garfield Road,40,South Park,4YD,E,0,Wayne,Wayne D. Allen,M,Brown,72.19,Allen,D.,W,58.5,TN,208,40251
7436 E. Cedar Avenue,65,Orlando,MAS,S,1,Joel,Joel J. Nichols,M,Black,67.76,Nichols,J.,W,71.0,FL,188,31686
8797 S. National Avenue,41,Green Bay,HS,E,3,Erin,Erin M. Butler,F,Brown,63.62,Butler,M.,W,57.330000000000005,WI,210,69478
1612 N. Cedar Road,31,Casper,HS,U,3,Suzanne,Suzanne C. Roberts,F,Brown,66.67,Roberts,C.,W,53.43,FL,170,73747
5626 E. Pearl Road,65,Blackwater,GS,H,2,Nancy,Nancy J. Parker,F,Brown,67.68,Parker,J.,W,41.34,GA,154,49325
5230 E. Clarke Street,18,Fresno,HS,C,1,Adelia,Adelia Isa,F,Black,60.39,Isa, ,A,55.38,CA,156,53107
3346 S. 75th Blvd.,53,King's Landing,PHD,C,2,Diega,Diega H. Duran,F,Black,64.75,Duran,H.,H,45.63,VA,120,71446
4573 N. Arthur Street,38,Buffalo,GS,L,0,Peter,Peter J. Pfeifer,M,Black,75.85,Pfeifer,J.,W,50.0,NY,158,57944
4490 N. Chambers Blvd.,50,Fresno,HS,S,2,Tekeysia,Tekeysia M. Sanders,F,Black,62.53,Sanders,M.,B,39.78,CA,202,52572
9562 W. Maple Street,28,Fresno,GS,C,0,Vera,Vera L. Taylor,F,Black,62.69,Taylor,L.,W,41.34,CA,136,87279
4466 N. Pine Road,48,Balmora,PHD,H,0,Stanley,Stanley D. Griffin,M,Red,66.49,Griffin,D.,W,50.0,IL,170,18258
6878 W. Lake Street,43,Atlantis,GS,L,1,Abraham,Abraham D. Richardson,M,Red,68.53,Richardson,D.,W,68.5,ME,164,26528
8089 W. Becker Street,43,Valyria,HS,C,1,Jake,Jake G. Cooper,M,Black,69.14,Cooper,G.,W,64.0,AK,150,38262
5719 W. Hill Road,37,Dawnstar,4YD,U,2,Jessica,Jessica J. Walker,F,Brown,64.29,Walker,J.,W,39.78,OH,154,65124
549 W. National Avenue,71,Valyria,GS,L,0,Kala,Kala A. Watkins,F,Black,56.63,Watkins,A.,B,53.43,IL,120,38513
7189 E. Locust Street,62,King's Landing,2YD,C,4,Anastasia,Anastasia M. Thomas,F,Blonde,68.45,Thomas,M.,W,42.9,CO,149,59009
1446 S. Oak Road,54,Oldtown,2YD,C,2,Barabara,Barabara A. Wagner,F,Blonde,64.78,Wagner,A.,W,44.85,TN,149,11831
831 S. Arthur Road,25,Sacramento,GS,S,1,Todd,Todd E. Harrison,M,Blonde,69.97,Harrison,E.,W,60.0,CA,150,83429
7466 N. Cedar Avenue,55,Waco,2YD,L,3,Cathy,Cathy L. Ross,F,Black,66.96,Ross,L.,W,44.85,TX,166,27401
6665 W. 84th Blvd.,40,Eerie,2YD,U,0,Wanda,Wanda B. Parker,F,Brown,61.66,Parker,B.,W,42.9,SC,166,28014
1086 N. 75th Street,71,Dawnstar,PHD,U,2,Steve,Steve J. Reynolds,M,Blonde,70.82,Reynolds,J.,W,51.0,GA,142,87428
3642 E. Lake Road,23,Dawnstar,4YD,C,0,Glen,Glen M. Campbell,M,Brown,71.3,Campbell,M.,W,53.0,OR,242,31733
5511 W. Cedar Road,25,Vice City,GS,E,3,Amy,Amy A. Graham,F,Blonde,72.23,Graham,A.,W,42.9,AZ,137,83798
6857 W. Hill Blvd.,49,Sunnydale,GS,C,3,Jessica,Jessica L. Davis,F,Black,62.48,Davis,L.,B,53.43,GA,161,88099
7503 S. Pine Street,43,Balmora,2YD,E,4,Clara,Clara M. Young,F,Red,65.1,Young,M.,W,42.9,ME,139,86565
4986 S. Becher Road,64,Braavos,4YD,S,0,Leon,Leon F. White,M,Black,74.03,White,F.,W,50.0,MT,142,48578
8697 E. Lake Avenue,31,Green Bay,4YD,E,3,Brian,Brian J. Burns,M,Red,65.7,Burns,J.,W,51.0,WI,159,70562
7900 N. Lake Avenue,64,King's Landing,4YD,C,1,Rodney,Rodney F. Brooks,M,Black,66.13,Brooks,F.,B,56.5,OK,192,42494
2202 N. Becher Road,48,Atlantis,2YD,C,3,Sharon,Sharon A. Kelley,F,Red,65.82,Kelley,A.,W,45.63,RI,138,17661
6313 E. Pine Street,42,Valyria,HS,L,2,Annie,Annie J. Watson,F,Blonde,63.37,Watson,J.,W,57.72,MO,147,38664
3094 W. Pearl Road,37,San Antonio,2YD,H,1,Tibone,Tibone G. Gonzales,F,Black,64.73,Gonzales,G.,I,49.92,TX,118,35676
7519 N. Chambers Street,72,Los Angeles,HS,C,1,Steve,Steve J. Mcdonald,M,Brown,71.0,Mcdonald,J.,W,50.0,CA,185,47161
2008 E. Cedar Blvd.,20,Braavos,2YD,E,1,Álex,Álex D. Villarreal,M,Black,72.04,Villarreal,D.,H,51.0,IL,158,90761
6213 S. Maple Street,44,Fresno,PHD,H,3,Leslie,Leslie A. Gibson,F,Brown,62.76,Gibson,A.,W,49.92,CA,177,83365
4417 S. Lake Road,75,Bedrock,MAS,E,4,Lorraine,Lorraine M. Nichols,F,Brown,65.17,Nichols,M.,W,44.07,HI,163,44419
3051 E. Lake Street,53,Vice City,HS,E,2,Kashton,Kashton G. Miller,M,Black,77.48,Miller,G.,W,63.5,MS,142,64357
7811 S. Locust Street,49,Oldtown,PHD,S,1,Lisa,Lisa H. Kelley,F,Blonde,60.98,Kelley,H.,W,39.78,OR,149,40286
1315 E. Hill Road,65,Westworld,HS,C,0,Melissa,Melissa A. Robinson,F,Brown,66.92,Robinson,A.,W,57.72,RI,215,28333
4394 S. 17th Blvd.,22,Valyria,2YD,E,1,Alexandria,Alexandria I. Hall,F,Brown,66.67,Hall,I.,W,44.85,VT,161,87275
227 S. Elm Street,37,South Park,2YD,H,0,Daniel,Daniel A. Fisher,M,Red,66.17,Fisher,A.,W,57.5,ID,235,17006
9210 W. GreenField Avenue,74,Los Angeles,HS,L,6,Ray,Ray J. Martin,M,Blonde,73.88,Martin,J.,W,57.5,CA,174,16043
1603 E. GreenField Avenue,45,Chico,HS,S,0,Jorge,Jorge C. Howard,M,Brown,71.49,Howard,C.,W,56.5,CA,149,13477
3187 N. Becher Road,18,Lakeview,HS,S,2,Guadalupe,Guadalupe G. Ramos,M,Black,66.7,Ramos,G.,H,72.0,NC,182,61268
8787 E. Becher Road,41,Olympus,4YD,H,2,Darleen,Darleen A. Alexander,F,Red,66.89,Alexander,A.,W,47.58,MD,116,62172
5734 N. Clarke Street,35,River West,4YD,U,3,Jazmin,Jazmin R. Roberts,F,Black,62.58,Roberts,R.,B,53.43,PA,162,80853
8233 E. Center Street,53,Fresno,4YD,H,2,Asia,Asia A. Bennett,F,Black,61.43,Bennett,A.,B,49.53,CA,157,90728
9278 E. Hill Blvd.,42,Braavos,PHD,H,7,Cippa,Cippa D. Phillips,M,Black,70.7,Phillips,D.,B,72.0,NC,171,47304
2853 N. National Avenue,74,Lakeview,PHD,L,2,Abigail,Abigail M. Watson,F,Blonde,66.43,Watson,M.,W,46.800000000000004,HI,145,92387
7076 E. Pearl Street,35,Epicburg,2YD,S,7,Catherine,Catherine L. Thomas,F,Brown,63.34,Thomas,L.,W,48.36,MO,169,59941
333 E. Becher Road,47,Blackwater,PHD,C,0,Sammy,Sammy M. Green,M,Black,74.7,Green,M.,B,55.0,SD,161,37330
8791 N. Oak Blvd.,60,Thundera,HS,S,1,Crystal,Crystal A. Miller,F,Brown,58.5,Miller,A.,W,46.800000000000004,KY,151,91867
